feature,importance
cp_0,0.12047818045899962
oldpeak,0.11255358456785462
thal_2,0.10763255594483244
thal_3,0.09840227023076448
thalach,0.08329648571407483
ca_0,0.07233402747044641
exang,0.05508318783860577
chol,0.05087224155539536
age,0.04999719730803827
trestbps,0.04955767890223755
slope_2,0.029176865346799526
cp_2,0.02879367959429394
slope_1,0.026576997983089486
sex,0.02458050734362976
ca_1,0.01483118675578977
cp_3,0.0113340769326596
restecg_0,0.011039355811868969
cp_1,0.010402273178827368
ca_2,0.009645622081407458
restecg_1,0.009382642153192412
thal_1,0.008116967194890783
fbs,0.005510351836139334
ca_3,0.005227155594236155
slope_0,0.00358952262761498
ca_4,0.0009928420786570998
restecg_2,0.0005925434956539948
thal_0,0.0
